,Sex,Single,Unemployed,Age,Credit,LoanDuration,PurposeOfLoan,InstallmentRate,Housing,Label
666,1.0,1,0,34,3496,30,4,4,1.0,1
667,2.0,0,0,27,3609,48,1,1,1.0,1
668,1.0,1,0,43,4843,12,6,3,2.0,0
669,1.0,1,0,47,3017,30,3,4,1.0,1
670,1.0,1,0,27,4139,24,1,3,1.0,1
671,1.0,1,0,31,5742,36,1,2,1.0,1
672,1.0,1,0,42,10366,60,6,2,1.0,1
673,1.0,0,0,24,2080,6,6,1,1.0,1
674,1.0,1,0,41,2580,21,1,4,1.0,0
675,2.0,0,0,26,4530,30,3,4,2.0,1
676,1.0,1,0,33,5150,24,4,4,1.0,1
677,1.0,0,0,24,5595,72,3,2,1.0,0
678,1.0,1,0,64,2384,24,3,4,2.0,1
679,2.0,0,0,26,1453,18,3,3,1.0,1
680,2.0,0,0,56,1538,6,2,1,1.0,1
681,1.0,1,0,37,2279,12,3,4,3.0,1
682,1.0,0,0,33,1478,15,3,4,1.0,1
683,1.0,0,0,47,5103,24,3,3,3.0,1
684,1.0,1,0,31,9857,36,1,1,1.0,1
685,1.0,1,0,34,6527,60,6,4,3.0,1
686,1.0,1,0,27,1347,10,3,4,1.0,1
687,1.0,1,0,30,2862,36,6,4,3.0,1
688,1.0,1,0,35,2753,9,3,3,1.0,1
689,1.0,1,0,31,3651,12,6,1,1.0,1
690,1.0,0,0,25,975,15,4,2,1.0,1
691,2.0,0,0,25,2631,15,8,3,1.0,1
692,1.0,1,0,29,2896,24,3,2,1.0,1
693,1.0,1,0,44,4716,6,6,1,1.0,1
694,1.0,1,0,28,2284,24,3,4,1.0,1
695,1.0,1,0,50,1236,6,10,2,2.0,1
696,1.0,1,0,29,1103,12,3,4,1.0,1
697,2.0,0,1,38,926,12,6,1,1.0,1
698,1.0,1,0,24,1800,18,3,4,1.0,1
699,1.0,1,0,40,1905,15,2,4,2.0,1
700,2.0,0,0,29,1123,12,4,4,2.0,0
701,1.0,1,0,46,6331,48,10,4,3.0,0
702,2.0,0,0,47,1377,24,3,4,3.0,1
703,1.0,1,0,41,2503,30,1,4,1.0,1
704,2.0,0,0,32,2528,27,1,4,1.0,1
705,2.0,0,0,35,5324,15,6,1,3.0,1
706,1.0,1,0,24,6560,48,6,3,1.0,0
707,2.0,0,0,25,2969,12,4,4,2.0,0
708,2.0,0,0,25,1206,9,3,4,1.0,1
709,1.0,1,0,37,2118,9,3,2,1.0,1
710,1.0,1,0,32,629,18,3,4,1.0,1
711,2.0,0,0,35,1198,6,2,4,3.0,0
712,1.0,1,0,46,2476,21,10,4,1.0,1
713,1.0,1,0,25,1138,9,3,4,1.0,1
714,1.0,1,0,27,14027,60,6,4,1.0,0
715,1.0,1,0,63,7596,30,10,1,1.0,1
716,1.0,1,0,40,3077,30,3,3,1.0,1
717,1.0,1,0,32,1505,18,3,4,3.0,1
718,1.0,1,0,31,3148,24,3,3,1.0,1
719,1.0,0,0,31,6148,20,10,3,1.0,1
720,1.0,1,0,34,1337,9,3,4,1.0,0
721,2.0,0,0,24,433,6,2,4,2.0,0
722,2.0,0,0,24,1228,12,6,4,1.0,0
723,2.0,0,0,66,790,9,3,4,1.0,1
724,2.0,0,0,21,2570,27,6,3,2.0,0
725,2.0,0,0,41,250,6,6,2,1.0,1
726,1.0,0,0,47,1316,15,3,2,1.0,1
727,2.0,0,0,25,1882,18,3,4,2.0,0
728,2.0,0,0,59,6416,48,1,4,2.0,0
729,1.0,0,0,36,1275,24,1,2,1.0,1
730,1.0,1,0,33,6403,24,3,1,1.0,1
731,1.0,1,0,21,1987,24,3,2,2.0,0
732,2.0,0,0,44,760,8,3,4,1.0,1
733,2.0,0,0,28,2603,24,10,2,2.0,1
734,2.0,0,0,37,3380,4,6,1,1.0,1
735,2.0,0,0,29,3990,36,5,3,1.0,1
736,2.0,0,0,23,11560,24,10,1,2.0,0
737,1.0,1,0,35,4380,18,6,3,1.0,1
738,1.0,1,0,45,6761,6,6,1,1.0,1
739,2.0,0,0,26,4280,30,1,4,2.0,0
740,1.0,1,0,32,2325,24,6,2,1.0,1
741,1.0,1,0,23,1048,10,3,4,1.0,1
742,1.0,1,0,41,3160,21,3,4,1.0,1
743,1.0,1,0,22,2483,24,4,4,1.0,1
744,1.0,1,0,30,14179,39,4,4,1.0,1
745,1.0,1,0,28,1797,13,1,3,1.0,1
746,2.0,0,1,23,2511,15,6,1,2.0,1
747,2.0,0,0,37,1274,12,6,3,1.0,0
748,1.0,1,0,26,5248,21,10,1,1.0,1
749,1.0,1,0,33,3029,15,10,2,1.0,1
750,2.0,0,0,49,428,6,4,2,1.0,1
751,2.0,0,0,23,976,18,6,1,1.0,0
752,2.0,0,0,23,841,12,1,2,2.0,1
753,2.0,0,0,25,5771,30,3,4,1.0,1
754,1.0,1,0,55,1555,12,8,4,3.0,0
755,2.0,0,0,32,1285,24,6,4,2.0,0
756,1.0,1,0,74,1299,6,6,1,1.0,1
757,1.0,1,0,39,1271,15,3,3,3.0,0
758,1.0,1,0,31,1393,24,6,2,1.0,1
759,1.0,1,0,35,691,12,6,4,1.0,0
760,2.0,0,0,59,5045,15,6,1,1.0,1
761,2.0,0,0,24,2124,18,4,4,2.0,0
762,1.0,1,0,24,2214,12,3,4,1.0,1
763,1.0,1,0,30,12680,21,6,4,3.0,0
764,1.0,0,0,27,2463,24,6,4,1.0,1
765,1.0,0,0,40,1155,12,3,3,1.0,1
766,1.0,0,0,31,3108,30,4,2,1.0,0
767,2.0,0,0,31,2901,10,10,1,2.0,1
768,1.0,1,0,28,3617,12,4,1,2.0,1
769,1.0,1,0,63,1655,12,3,2,1.0,1
770,2.0,0,0,26,2812,24,10,2,2.0,1
771,2.0,0,0,25,8065,36,2,3,1.0,0
772,1.0,1,0,36,3275,21,10,1,1.0,1
773,1.0,1,0,52,2223,24,3,4,1.0,1
774,1.0,1,1,66,1480,12,6,2,3.0,1
775,2.0,0,0,25,1371,24,6,4,2.0,0
776,1.0,1,0,37,3535,36,6,4,1.0,1
777,2.0,0,0,25,3509,18,3,4,1.0,1
778,1.0,1,0,38,5711,36,10,4,1.0,1
779,2.0,0,1,67,3872,18,8,2,1.0,1
780,1.0,1,0,25,4933,39,3,2,1.0,0
781,1.0,1,0,60,1940,24,6,4,1.0,1
782,1.0,1,0,31,1410,12,9,2,1.0,1
783,2.0,0,0,23,836,12,6,4,1.0,0
784,1.0,0,1,60,6468,20,10,1,1.0,1
785,1.0,1,0,35,1941,18,1,4,1.0,1
786,1.0,1,0,40,2675,22,3,3,1.0,1
787,1.0,1,0,38,2751,48,10,4,1.0,1
788,1.0,1,0,50,6224,48,2,4,3.0,0
789,1.0,1,0,27,5998,40,2,4,1.0,0
790,2.0,0,0,39,1188,21,1,2,1.0,0
791,1.0,1,0,41,6313,24,10,3,1.0,1
792,1.0,0,0,27,1221,6,4,1,1.0,1
793,1.0,0,0,51,2892,24,4,3,3.0,1
794,1.0,1,0,32,3062,24,4,4,2.0,1
795,2.0,0,0,22,2301,9,4,2,2.0,1
796,1.0,1,0,51,7511,18,10,1,3.0,0
797,2.0,0,0,22,1258,12,4,2,2.0,1
798,1.0,0,0,54,717,24,6,4,1.0,1
799,1.0,1,0,35,1549,9,6,4,1.0,1
800,1.0,1,0,54,1597,24,2,4,3.0,1
801,2.0,0,0,48,1795,18,3,3,2.0,1
802,2.0,0,0,24,4272,20,4,1,1.0,1
803,1.0,1,0,35,976,12,3,4,1.0,1
804,2.0,0,1,24,7472,12,6,1,2.0,1
805,1.0,1,0,24,9271,36,6,2,1.0,0
806,1.0,0,0,26,590,6,3,3,1.0,1
807,1.0,1,0,65,930,12,3,4,1.0,1
808,1.0,1,1,55,9283,42,10,1,3.0,1
809,2.0,0,0,26,1778,15,6,2,2.0,0
810,1.0,0,0,26,907,8,1,3,1.0,1
811,1.0,0,0,28,484,6,3,3,1.0,1
812,1.0,1,0,24,9629,36,10,4,1.0,0
813,1.0,1,0,54,3051,48,5,3,1.0,0
814,1.0,1,0,46,3931,48,6,4,3.0,0
815,2.0,0,0,54,7432,36,6,2,2.0,1
816,1.0,0,0,62,1338,6,5,1,1.0,1
817,2.0,0,0,24,1554,6,3,1,2.0,1
818,1.0,0,1,43,15857,36,7,2,1.0,1
819,1.0,0,0,26,1345,18,3,4,1.0,0
820,1.0,0,0,27,1101,12,6,3,1.0,1
821,1.0,0,0,24,3016,12,3,3,1.0,1
822,1.0,1,0,41,2712,36,4,2,1.0,0
823,1.0,1,0,47,731,8,6,4,1.0,1
824,1.0,0,0,35,3780,18,4,3,1.0,1
825,1.0,0,0,30,1602,21,6,4,1.0,1
826,2.0,0,0,33,3966,18,6,1,2.0,0
827,1.0,1,0,36,4165,18,1,2,1.0,0
828,1.0,1,0,47,8335,36,10,3,3.0,0
829,1.0,1,0,38,6681,48,1,4,3.0,1
830,1.0,1,0,44,2375,24,1,4,1.0,1
831,2.0,0,0,23,1216,18,6,4,2.0,0
832,1.0,1,0,29,11816,45,1,2,2.0,0
833,2.0,0,0,42,5084,24,3,2,1.0,1
834,2.0,0,0,25,2327,15,3,2,1.0,0
835,1.0,1,0,48,1082,12,6,4,1.0,0
836,2.0,0,0,21,886,12,3,4,1.0,1
837,2.0,0,0,23,601,4,4,1,2.0,1
838,1.0,1,0,63,2957,24,10,4,1.0,1
839,1.0,0,0,46,2611,24,3,4,1.0,1
840,1.0,1,0,29,5179,36,4,4,1.0,0
841,1.0,1,0,28,2993,21,10,3,1.0,1
842,2.0,0,0,23,1943,18,8,4,1.0,0
843,1.0,1,0,50,1559,24,1,4,1.0,1
844,1.0,1,0,47,3422,18,4,4,1.0,1
845,1.0,1,0,35,3976,21,4,2,1.0,1
846,1.0,1,0,68,6761,18,6,2,2.0,0
847,1.0,0,0,28,1249,24,6,4,1.0,1
848,1.0,1,0,59,1364,9,3,3,1.0,1
849,1.0,1,0,57,709,12,3,4,1.0,0
850,1.0,0,0,33,2235,20,6,4,2.0,0
851,1.0,1,0,43,4042,24,10,3,1.0,1
852,1.0,1,0,35,1471,15,3,4,3.0,1
853,1.0,1,0,32,1442,18,6,4,3.0,0
854,1.0,1,0,45,10875,36,6,2,1.0,1
855,1.0,0,0,33,1474,24,6,4,1.0,1
856,2.0,0,0,40,894,10,9,4,1.0,1
857,1.0,1,0,28,3343,15,4,4,3.0,1
858,2.0,0,0,29,3959,15,6,3,1.0,0
859,1.0,1,0,26,3577,9,6,1,2.0,1
860,1.0,1,0,27,5804,24,10,4,1.0,1
861,1.0,0,0,28,2169,18,1,4,1.0,0
862,2.0,0,0,35,2439,24,3,4,1.0,0
863,1.0,1,0,32,4526,27,4,4,1.0,1
864,1.0,1,0,25,2210,10,4,2,2.0,0
865,2.0,0,0,20,2221,15,4,2,2.0,1
866,2.0,0,0,27,2389,18,3,4,1.0,1
867,1.0,1,0,42,3331,12,4,2,1.0,1
868,1.0,1,0,37,7409,36,1,3,1.0,1
869,2.0,0,0,24,652,12,4,4,2.0,1
870,2.0,0,0,40,7678,36,4,2,1.0,1
871,1.0,1,0,46,1343,6,6,1,1.0,1
872,1.0,1,0,26,1382,24,1,4,1.0,1
873,2.0,0,0,24,874,15,5,4,1.0,1
874,1.0,1,0,29,3590,12,4,2,1.0,1
875,2.0,0,0,40,1322,11,6,4,1.0,1
876,1.0,1,0,36,1940,18,3,3,3.0,1
877,1.0,1,0,28,3595,36,3,4,1.0,1
878,1.0,1,0,27,1422,9,6,3,3.0,0
879,1.0,1,0,36,6742,30,3,2,1.0,1
880,1.0,1,0,38,7814,24,10,3,1.0,1
881,1.0,0,0,48,9277,24,10,2,3.0,1
882,1.0,1,0,36,2181,30,6,4,1.0,1
883,2.0,0,1,65,1098,18,3,4,1.0,1
884,1.0,0,0,43,4057,24,4,3,1.0,0
885,2.0,0,0,53,795,12,2,4,1.0,0
886,1.0,1,0,34,2825,24,1,4,1.0,1
887,1.0,1,0,23,15672,48,1,2,1.0,0
888,1.0,1,0,34,6614,36,6,4,1.0,1
889,1.0,1,0,40,7824,28,10,3,2.0,1
890,1.0,1,0,43,2442,27,1,4,1.0,1
891,1.0,1,0,46,1829,15,3,4,1.0,1
892,1.0,1,0,38,2171,12,6,4,1.0,1
893,1.0,1,0,34,5800,36,10,3,1.0,1
894,1.0,1,0,29,1169,18,3,4,1.0,1
895,1.0,1,0,31,8947,36,10,3,1.0,1
896,2.0,0,0,28,2606,21,3,4,2.0,1
897,2.0,0,0,35,1592,12,4,3,1.0,1
898,2.0,0,0,33,2186,15,4,1,2.0,1
899,1.0,1,0,42,4153,18,4,2,1.0,0
900,1.0,1,0,43,2625,16,6,2,2.0,0
901,1.0,0,0,44,3485,20,6,2,1.0,1
902,1.0,1,0,42,10477,36,10,2,3.0,1
903,1.0,0,0,40,1386,15,3,4,2.0,1
904,1.0,1,0,36,1278,24,3,4,1.0,1
905,1.0,1,0,20,1107,12,3,2,2.0,1
906,1.0,1,0,24,3763,21,6,2,1.0,1
907,1.0,0,0,27,3711,36,2,2,1.0,1
908,2.0,0,0,46,3594,15,10,1,1.0,1
909,2.0,0,0,33,3195,9,6,1,1.0,1
910,2.0,0,0,34,4454,36,3,4,1.0,1
911,2.0,0,0,25,4736,24,4,2,1.0,0
912,2.0,0,0,25,2991,30,3,2,1.0,1
913,1.0,0,0,28,2142,11,1,1,1.0,1
914,1.0,1,0,31,3161,24,1,4,2.0,0
915,2.0,0,0,32,18424,48,7,1,1.0,0
916,1.0,1,0,32,2848,10,10,1,1.0,1
917,1.0,1,0,68,14896,6,6,1,1.0,0
918,1.0,0,1,33,2359,24,4,1,1.0,0
919,1.0,1,0,39,3345,24,4,4,2.0,0
920,2.0,0,0,28,1817,18,4,4,1.0,1
921,1.0,1,0,37,12749,48,3,4,1.0,1
922,2.0,0,0,22,1366,9,3,3,2.0,0
923,1.0,1,0,30,2002,12,6,3,2.0,1
924,1.0,0,0,55,6872,24,4,2,1.0,0
925,1.0,1,0,46,697,12,6,4,1.0,0
926,2.0,0,0,21,1049,18,4,4,2.0,1
927,1.0,1,0,39,10297,48,10,4,3.0,0
928,1.0,1,0,58,1867,30,3,4,1.0,1
929,1.0,1,0,43,1344,12,6,4,1.0,1
930,1.0,1,0,24,1747,24,4,4,1.0,1
931,2.0,0,0,22,1670,9,3,4,1.0,0
932,1.0,1,0,30,1224,9,6,3,1.0,1
933,1.0,1,0,42,522,12,3,4,1.0,1
934,2.0,0,0,23,1498,12,3,4,1.0,1
935,1.0,1,0,30,1919,30,3,4,1.0,0
936,2.0,0,0,28,745,9,3,3,1.0,0
937,1.0,0,0,30,2063,6,3,4,2.0,1
938,1.0,1,0,42,6288,60,2,4,3.0,0
939,1.0,1,0,46,6842,24,10,2,1.0,1
940,1.0,1,0,45,3527,12,6,2,1.0,1
941,1.0,1,0,31,1546,10,6,3,1.0,1
942,1.0,1,0,31,929,24,4,4,1.0,1
943,1.0,1,0,42,1455,4,6,2,1.0,1
944,2.0,0,0,46,1845,15,4,4,2.0,1
945,2.0,0,0,30,8358,48,6,1,1.0,1
946,1.0,1,0,30,3349,24,4,4,3.0,0
947,1.0,1,1,38,2859,12,6,4,1.0,1
948,1.0,0,0,43,1533,18,4,4,1.0,0
949,1.0,1,0,31,3621,24,3,2,1.0,0
950,1.0,0,1,40,3590,18,1,3,1.0,1
951,1.0,1,0,24,2145,36,1,2,1.0,0
952,2.0,0,0,28,4113,24,10,3,2.0,0
953,2.0,0,1,26,10974,36,4,4,1.0,0
954,2.0,0,0,29,1893,12,6,4,1.0,1
955,2.0,0,0,57,1231,24,3,4,2.0,1
956,1.0,1,0,49,3656,30,3,4,1.0,1
957,1.0,1,0,37,1154,9,3,2,1.0,1
958,1.0,1,0,45,4006,28,6,3,1.0,0
959,1.0,1,0,30,3069,24,4,4,3.0,1
960,1.0,0,0,30,1740,6,3,2,2.0,1
961,1.0,0,0,47,2353,21,6,1,1.0,1
962,1.0,1,0,29,3556,15,6,3,1.0,1
963,1.0,1,0,35,2397,24,3,3,1.0,0
964,1.0,0,0,22,454,6,8,3,1.0,1
965,2.0,0,0,26,1715,30,3,4,1.0,1
966,1.0,1,0,23,2520,27,3,4,1.0,0
967,2.0,0,0,54,3568,15,3,4,2.0,1
968,1.0,0,0,29,7166,42,3,2,2.0,1
969,1.0,1,0,40,3939,11,6,1,1.0,1
970,1.0,1,0,22,1514,15,8,4,1.0,1
971,1.0,1,0,43,7393,24,6,1,1.0,1
972,2.0,0,1,29,1193,24,6,1,2.0,0
973,1.0,1,0,36,7297,60,1,4,2.0,0
974,2.0,0,0,33,2831,30,3,4,1.0,1
975,2.0,0,0,57,1258,24,3,3,1.0,1
976,2.0,0,0,64,753,6,3,2,1.0,1
977,1.0,1,0,42,2427,18,1,4,1.0,1
978,1.0,1,0,47,2538,24,6,4,1.0,0
979,1.0,0,0,25,1264,15,6,2,2.0,0
980,1.0,1,0,49,8386,30,4,2,1.0,0
981,1.0,1,1,33,4844,48,1,3,2.0,0
982,2.0,0,0,28,2923,21,6,1,1.0,1
983,1.0,1,0,26,8229,36,10,2,1.0,0
984,1.0,1,0,30,2028,24,4,2,1.0,1
985,2.0,0,0,25,1433,15,4,4,2.0,1
986,1.0,0,0,33,6289,42,1,2,1.0,1
987,2.0,0,1,64,1409,13,3,2,1.0,1
988,1.0,1,1,29,6579,24,10,4,3.0,1
989,1.0,1,0,48,1743,24,3,4,1.0,1
990,1.0,1,0,37,3565,12,2,2,1.0,1
991,1.0,1,0,34,1569,15,3,4,1.0,1
992,1.0,0,0,23,1936,18,3,2,2.0,1
993,1.0,1,1,30,3959,36,4,4,1.0,1
994,1.0,1,0,50,2390,12,6,4,1.0,1
995,2.0,0,0,31,1736,12,4,3,1.0,1
996,1.0,0,0,40,3857,30,10,4,1.0,1
997,1.0,1,0,38,804,12,3,4,1.0,1
998,1.0,1,0,23,1845,45,3,4,3.0,0
999,1.0,1,1,27,4576,45,10,3,1.0,1
