,status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,personal_status,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,credit
0,0,6,4,4,1169,4,4,4,2,0,4,0,0,2,1,2,2,1,1,0,0
1,1,48,2,4,5951,0,2,2,1,0,2,0,1,2,1,1,2,1,0,0,1
2,3,12,4,7,2096,0,3,2,2,0,3,0,0,2,1,1,1,2,0,0,0
3,0,42,2,3,7882,0,3,2,2,2,4,1,0,2,2,1,2,2,0,0,0
4,0,24,3,0,4870,0,2,3,2,0,4,3,0,2,2,2,2,2,0,0,1
5,3,36,2,7,9055,4,2,2,2,0,4,3,0,2,2,1,1,2,1,0,0
6,3,24,2,3,2835,2,4,3,2,0,4,1,0,2,1,1,2,1,0,0,0
7,1,36,2,1,6948,0,2,2,2,0,2,2,0,2,0,1,3,1,1,0,0
8,3,12,2,4,3059,3,3,2,0,0,4,0,0,2,1,1,1,1,0,0,0
9,1,30,4,0,5234,0,0,4,3,0,2,2,0,2,1,2,3,1,0,0,1
10,1,12,2,0,1295,0,1,3,1,0,1,2,1,2,0,1,2,1,0,0,1
11,0,48,2,9,4308,0,1,3,1,0,4,1,1,2,0,1,2,1,0,0,1
12,1,12,2,4,1567,0,2,1,1,0,1,2,1,2,1,1,2,1,1,0,0
13,0,24,4,0,1199,0,4,4,2,0,4,2,0,2,1,2,1,1,0,0,1
14,0,15,2,0,1403,0,2,2,1,0,4,2,0,2,0,1,2,1,0,0,0
15,0,24,2,4,1282,1,2,4,1,0,2,2,0,2,1,1,1,1,0,0,1
16,3,24,4,4,2424,4,4,4,2,0,4,1,0,2,1,2,2,1,0,0,0
17,0,30,0,9,8072,4,1,2,2,0,3,2,1,0,1,3,2,1,0,0,0
18,1,24,2,1,12579,0,4,4,1,0,2,3,0,2,2,1,3,1,1,0,1
19,3,24,2,4,3430,2,4,3,2,0,2,2,0,2,1,1,2,2,1,0,0
20,3,9,4,0,2134,0,2,4,2,0,4,2,0,2,1,3,2,1,1,0,0
21,0,6,2,4,2647,2,2,2,2,0,3,0,0,2,0,1,2,2,0,0,0
22,0,10,4,0,2241,0,1,1,2,0,3,0,0,2,0,2,1,2,0,1,0
23,1,12,4,1,1804,1,1,3,2,0,4,1,0,2,1,1,2,1,0,0,0
24,3,10,4,3,2069,4,2,2,3,0,1,2,0,2,1,2,2,1,0,1,0
25,0,6,2,3,1374,0,2,1,2,0,2,0,0,0,1,1,1,1,1,0,0
26,3,6,0,4,426,0,4,4,3,0,4,2,0,2,1,1,1,1,0,0,0
27,2,12,1,4,409,3,2,3,1,0,3,0,0,2,0,2,2,1,0,0,0
28,1,7,2,4,2415,0,2,3,2,2,2,0,0,2,1,1,2,1,0,0,0
29,0,60,3,9,6836,0,4,3,2,0,4,3,0,2,1,2,2,1,1,0,1
30,1,18,2,9,1913,3,1,3,3,0,3,0,0,0,1,1,2,1,1,0,0
31,0,24,2,3,4020,0,2,2,2,0,2,2,0,1,1,1,2,1,0,0,0
32,1,18,2,0,5866,1,2,2,2,0,2,2,0,2,1,2,2,1,1,0,0
33,3,12,4,9,1264,4,4,4,2,0,4,3,0,2,0,1,1,1,0,0,0
34,2,12,2,3,1474,0,1,4,1,0,1,1,0,0,1,1,3,1,1,0,0
35,1,45,4,4,4746,0,1,4,2,0,2,1,1,2,1,2,1,1,0,0,1
36,3,48,4,7,6110,0,2,1,2,0,3,3,0,0,2,1,2,1,1,0,0
37,2,18,2,4,2100,0,2,4,2,1,2,0,0,1,1,1,2,1,0,0,1
38,2,10,2,5,1225,0,2,2,2,0,2,2,0,2,1,1,2,1,1,0,0
39,1,9,2,4,458,0,2,4,2,0,3,0,1,2,1,1,2,1,0,0,0
40,3,30,2,4,2333,2,4,4,2,0,2,2,0,0,1,1,3,1,0,0,0
41,1,12,2,4,1158,2,2,3,0,0,1,2,0,2,1,1,2,1,1,0,0
42,1,18,3,6,6204,0,2,2,2,0,4,0,0,2,1,1,1,2,1,0,0
43,0,30,4,1,6187,1,3,1,3,0,4,2,1,2,0,2,2,1,0,0,0
44,0,48,4,1,6143,0,4,4,1,0,4,3,0,1,2,2,1,1,0,0,1
45,3,11,4,0,1393,0,1,4,1,0,4,2,0,2,1,2,3,1,0,0,0
46,3,36,2,4,2299,2,4,4,2,0,4,2,0,2,1,1,2,1,0,0,0
47,0,6,2,1,1352,2,0,1,1,0,2,1,1,2,0,1,0,1,1,0,0
48,3,11,4,0,7228,0,2,1,2,0,4,1,0,2,1,2,1,1,0,0,0
49,3,12,2,4,2073,1,2,4,1,1,2,0,0,2,1,1,2,1,0,0,0
50,1,24,3,3,2333,4,1,4,2,0,2,1,0,0,1,1,1,1,0,0,0
51,1,27,3,1,5965,0,4,1,2,0,2,2,0,2,1,2,3,1,1,0,0
52,3,12,2,4,1262,0,2,3,2,0,2,2,1,2,1,1,2,1,0,0,0
53,3,18,2,1,3378,4,2,2,2,0,1,1,0,2,1,1,2,1,1,0,0
54,1,36,3,0,2225,0,4,4,2,0,4,3,0,0,2,2,2,1,1,0,1
55,3,6,1,0,783,4,2,1,2,2,2,0,0,1,1,1,1,2,0,0,0
56,1,12,2,4,6468,4,0,2,2,0,1,3,0,2,1,1,3,1,1,0,1
57,3,36,4,4,9566,0,2,2,1,0,2,2,0,1,1,2,2,1,0,0,0
58,2,18,2,0,1961,0,4,3,1,0,2,2,1,2,1,1,3,1,0,0,0
59,0,36,4,3,6229,0,1,4,1,1,4,3,1,2,0,2,1,1,1,0,1
60,1,9,2,9,1391,0,2,2,3,0,1,0,0,0,1,1,2,1,1,0,0
61,1,15,4,4,1537,4,4,4,2,2,4,0,0,2,1,2,2,1,1,0,0
62,1,36,0,9,1953,0,4,4,2,0,4,3,0,2,2,1,3,1,1,0,1
63,1,48,0,9,14421,0,2,2,2,0,2,2,1,2,1,1,2,1,1,0,1
64,3,24,2,4,3181,0,1,4,1,0,4,1,0,2,1,1,2,1,1,0,0
65,3,27,2,6,5190,4,4,4,2,0,4,1,0,2,1,4,2,2,1,0,0
66,3,12,2,4,2171,0,1,2,1,0,2,2,0,0,1,1,2,1,0,0,0
67,1,12,2,0,1007,3,2,4,3,0,1,0,1,2,1,1,2,1,0,0,0
68,3,36,2,7,1819,0,2,4,2,0,4,3,0,1,2,1,2,1,1,0,1
69,3,36,2,4,2394,4,2,4,1,0,4,2,1,2,1,1,2,1,0,0,0
70,3,36,2,1,8133,0,2,1,1,0,2,1,0,0,1,1,2,1,0,0,0
71,3,7,4,4,730,4,4,4,2,0,2,1,0,2,0,2,1,1,1,0,0
72,0,8,4,2,1164,0,4,3,2,0,4,3,0,0,2,2,3,2,1,0,0
73,1,42,4,9,5954,0,3,2,1,0,1,0,0,0,1,2,1,1,0,0,0
74,0,36,2,7,1977,4,4,4,2,0,4,3,0,2,1,1,3,1,1,0,1
75,0,12,4,1,1526,0,4,4,2,0,4,3,0,2,2,2,3,1,0,0,0
76,0,42,2,4,3965,0,1,4,2,0,3,2,0,2,1,1,2,1,0,0,1
77,1,11,3,4,4771,0,3,2,2,0,4,1,0,2,1,1,2,1,0,0,0
78,3,54,0,1,9436,4,2,2,2,0,2,1,0,2,1,1,1,2,0,0,0
79,1,30,2,3,3832,0,1,2,3,0,1,1,1,2,1,1,2,1,0,0,0
80,3,24,2,4,5943,4,1,1,1,0,1,2,0,2,1,2,2,1,1,0,1
81,3,15,2,4,1213,2,4,4,2,0,3,1,0,1,1,1,2,1,1,0,0
82,3,18,2,9,1568,1,2,3,1,0,4,1,1,2,0,1,1,1,0,0,0
83,0,24,2,2,1755,0,4,4,1,2,4,0,0,2,1,1,1,1,1,0,0
84,0,10,2,4,2315,0,4,3,2,0,4,0,0,2,1,1,1,1,0,0,0
85,3,12,4,9,1412,0,2,4,1,2,2,0,0,2,1,2,3,1,1,0,0
86,1,18,4,3,1295,0,1,4,1,0,1,1,0,2,1,2,2,1,0,0,0
87,1,36,2,7,12612,1,2,1,2,0,4,3,0,2,2,1,2,2,1,0,1
88,0,18,2,0,2249,1,3,4,2,0,3,2,0,2,1,1,3,2,1,0,0
89,0,12,0,6,1108,0,3,4,2,0,3,0,0,2,1,2,2,1,0,0,1
90,3,12,4,4,618,0,4,4,2,0,4,0,0,2,1,1,2,1,0,0,0
91,0,12,4,1,1409,0,4,4,2,0,3,0,0,2,1,1,2,1,0,0,0
92,3,12,4,4,797,4,4,4,1,0,3,1,0,0,1,1,1,2,0,0,1
93,2,24,4,3,3617,4,4,4,2,1,4,3,1,2,0,2,2,1,0,0,0
94,1,12,2,0,1318,3,4,4,2,0,4,0,0,2,1,1,2,1,1,0,0
95,1,54,0,9,15945,0,1,3,2,0,4,3,0,2,0,1,2,1,1,0,1
96,3,12,4,7,2012,4,3,4,1,0,2,2,0,2,1,1,2,1,0,0,0
97,1,18,2,9,2622,1,2,4,2,0,4,2,0,2,1,1,2,1,0,0,0
98,1,36,4,4,2337,0,4,4,2,0,4,0,0,2,1,1,2,1,0,0,0
99,1,20,3,1,7057,4,3,3,2,0,4,1,0,0,0,2,3,2,1,0,0
100,3,24,2,0,1469,1,4,4,3,0,4,0,0,2,0,1,1,1,0,0,0
101,1,36,2,4,2323,0,3,4,2,0,4,2,1,2,0,1,2,1,0,0,0
102,3,6,3,4,932,0,2,3,1,0,2,0,1,2,1,1,2,1,0,0,0
103,1,9,4,3,1919,0,3,4,2,0,3,2,0,2,0,1,2,1,1,0,0
104,3,12,2,1,2445,4,1,2,3,0,4,2,0,2,0,1,2,1,1,0,0
105,1,24,4,2,11938,0,2,2,2,1,3,2,0,2,1,2,3,2,1,0,1
106,3,18,1,0,6458,0,4,2,2,0,4,3,0,0,1,2,3,2,1,0,1
107,1,12,2,0,6078,0,3,2,2,0,2,2,0,2,1,1,2,1,0,0,0
108,0,24,2,3,7721,4,1,1,1,0,2,1,0,2,1,1,2,1,1,1,0
109,1,14,2,9,1410,2,4,1,3,0,2,0,0,2,1,1,2,1,1,0,0
110,1,6,3,9,1449,1,4,1,0,0,2,2,0,0,1,2,2,2,0,0,0
111,2,15,2,7,392,0,1,4,1,0,4,1,1,2,0,1,2,1,1,0,0
112,1,18,2,0,6260,0,3,3,2,0,3,0,0,2,0,1,1,1,0,0,0
113,3,36,4,0,7855,0,2,4,1,0,2,0,1,1,1,2,2,1,1,0,1
114,0,12,2,4,1680,2,4,3,3,0,1,0,0,2,1,1,2,1,0,0,0
115,3,48,4,4,3578,4,4,4,2,0,1,0,0,2,1,1,2,1,1,0,0
116,0,42,2,4,7174,4,3,4,1,0,3,2,0,2,1,1,3,1,1,0,1
117,0,10,4,3,2132,4,1,2,1,1,3,0,0,2,0,2,2,1,0,1,0
118,0,33,4,3,4281,2,2,1,1,0,4,2,1,2,1,2,2,1,0,0,1
119,1,12,4,0,2366,2,3,3,0,0,3,2,0,2,1,1,3,1,1,0,0
120,0,21,2,4,1835,0,2,3,1,0,2,0,1,2,1,2,2,1,1,0,1
121,3,24,4,1,3868,0,4,4,1,0,2,2,0,2,0,2,3,1,1,0,0
122,3,12,2,3,1768,0,2,3,2,0,2,0,1,2,0,1,1,1,0,0,0
123,2,10,4,0,781,0,4,4,2,0,4,3,0,2,2,2,2,1,1,0,0
124,1,18,2,3,1924,4,1,4,1,0,3,0,0,2,0,1,2,1,0,0,1
125,0,12,4,0,2121,0,2,4,2,0,2,1,0,2,1,2,2,1,0,0,0
126,0,12,2,4,701,0,2,4,3,0,2,0,0,2,1,1,1,1,0,0,0
127,1,12,2,6,639,0,2,4,2,0,2,2,0,2,1,1,2,1,0,0,1
128,1,12,4,1,1860,0,0,4,2,0,2,2,0,2,1,2,3,1,1,0,0
129,0,12,4,0,3499,0,2,3,1,1,2,0,0,2,1,2,2,1,0,0,1
130,1,48,2,0,8487,4,3,1,1,0,2,2,1,2,1,1,2,1,0,0,0
131,0,36,3,7,6887,0,2,4,2,0,3,1,0,1,1,1,2,1,1,0,1
132,3,15,2,3,2708,0,1,2,2,0,3,1,0,0,1,2,1,1,0,0,0
133,3,18,2,3,1984,0,2,4,2,0,4,3,0,0,2,2,2,1,0,0,0
134,3,60,2,4,10144,1,3,2,1,0,4,0,1,2,1,1,2,1,1,0,0
135,3,12,4,4,1240,4,4,4,1,0,2,0,0,2,1,2,2,1,1,0,0
136,3,27,3,1,8613,3,2,2,2,0,2,2,0,2,1,2,2,1,0,0,0
137,1,12,2,4,766,2,2,4,2,0,3,0,0,2,1,1,1,1,0,0,1
138,1,15,4,4,2728,4,3,4,2,2,2,0,0,0,1,3,2,1,1,0,0
139,2,12,2,4,1881,0,2,2,1,0,2,2,0,2,0,1,1,1,1,0,0
140,2,6,2,0,709,3,1,2,3,0,2,0,0,2,1,1,0,1,0,1,0
141,1,36,2,4,4795,0,1,4,1,0,1,3,0,2,1,1,3,1,1,0,0
142,0,27,2,4,3416,0,2,3,2,0,2,2,0,2,1,1,3,1,0,0,0
143,0,18,2,3,2462,0,2,2,2,0,2,2,1,2,1,1,2,1,0,0,1
144,3,21,4,3,2288,0,1,4,1,0,4,1,1,2,1,1,2,1,1,0,0
145,1,48,1,9,3566,1,3,4,2,0,2,2,0,2,1,1,2,1,0,0,0
146,0,6,4,0,860,0,4,1,1,0,4,3,0,2,1,2,2,1,1,0,0
147,3,12,4,0,682,1,3,4,1,0,3,2,0,2,1,2,2,1,1,0,0
148,0,36,4,3,5371,0,2,3,2,2,2,1,0,2,1,2,2,1,0,0,0
149,3,18,4,4,1582,3,4,4,2,0,4,2,0,2,1,2,2,1,0,0,0
150,3,6,2,4,1346,1,4,2,2,0,4,3,0,0,2,1,2,2,1,0,0
151,3,10,2,4,1924,0,2,1,2,0,4,1,0,2,1,1,2,1,1,1,0
152,2,36,2,4,5848,0,2,4,2,0,1,2,1,2,1,1,2,1,0,0,0
153,1,24,4,1,7758,3,4,2,1,0,4,3,0,2,0,1,2,1,0,0,0
154,1,24,3,9,6967,1,3,4,2,0,4,2,0,2,0,1,3,1,1,0,0
155,0,12,2,3,1282,0,2,2,1,0,4,2,1,2,0,1,2,1,0,0,1
156,0,9,4,6,1288,1,4,3,2,2,4,0,0,2,1,2,2,2,0,1,0
157,0,12,1,8,339,0,4,4,3,0,1,2,0,0,1,1,1,1,0,0,0
158,1,24,2,0,3512,1,3,2,2,0,3,2,0,0,1,2,2,1,1,0,0
159,3,6,4,4,1898,4,2,1,2,0,2,0,0,2,1,2,1,2,0,0,0
160,3,24,4,4,2872,1,4,3,2,0,4,0,0,2,1,1,2,2,1,0,0
161,3,18,4,0,1055,0,1,4,1,0,1,1,0,2,1,2,2,1,0,0,0
162,3,15,2,5,1262,2,3,4,2,0,3,1,0,2,1,2,2,1,1,0,0
163,1,10,2,0,7308,0,0,2,2,0,4,3,0,0,2,1,3,1,1,0,0
164,3,36,2,0,909,2,4,4,2,0,4,1,0,2,1,1,2,1,0,0,0
165,3,6,2,3,2978,2,2,1,2,0,2,2,0,2,1,1,2,1,1,0,0
166,0,18,2,3,1131,0,0,4,1,0,2,2,0,2,1,1,2,1,0,0,1
167,1,11,2,3,1577,3,1,4,1,0,1,0,1,2,1,1,2,1,0,0,0
168,3,24,2,3,3972,0,3,2,1,0,4,1,1,2,0,1,2,1,1,0,0
169,1,24,4,9,1935,0,4,4,0,0,4,0,0,2,1,2,2,1,1,0,1
170,0,15,0,0,950,0,4,4,2,0,3,2,0,2,0,2,2,2,0,0,1
171,3,12,2,3,763,0,2,4,1,0,1,0,0,2,1,1,2,1,1,0,0
172,1,24,3,3,2064,0,0,3,1,0,2,1,0,2,1,1,3,1,1,0,1
173,1,8,2,4,1414,0,2,4,2,2,2,0,0,2,1,1,2,1,0,1,0
174,0,21,3,7,3414,0,1,2,2,0,1,1,0,2,1,2,2,1,0,0,1
175,3,30,1,1,7485,4,0,4,1,0,1,0,0,0,1,1,3,1,1,0,1
176,0,12,2,3,2577,0,2,2,0,0,1,2,0,2,1,1,2,1,0,0,0
177,0,6,4,4,338,2,4,4,2,0,4,2,0,2,1,2,2,1,0,0,0
178,3,12,2,4,1963,0,3,4,2,0,2,2,0,2,0,2,3,2,1,0,0
179,0,21,4,0,571,0,4,4,2,0,4,0,0,2,1,2,2,1,0,0,0
180,3,36,3,9,9572,0,1,1,0,0,1,2,0,2,1,2,2,1,0,0,1
181,1,36,3,9,4455,0,2,2,0,0,2,0,0,1,1,2,3,1,1,0,1
182,0,21,1,0,1647,4,2,4,2,0,2,1,0,2,1,2,1,2,0,0,1
183,3,24,4,3,3777,3,2,4,2,0,4,0,0,2,1,1,2,1,1,0,0
184,1,18,4,0,884,0,4,4,2,0,4,2,0,0,1,1,2,2,1,0,1
185,3,15,4,4,1360,0,2,4,2,0,2,1,0,2,1,2,2,1,0,0,0
186,1,9,1,1,5129,0,4,2,1,0,4,3,0,0,2,1,3,2,1,0,1
187,1,16,4,0,1175,0,0,2,2,0,3,2,0,2,2,3,0,1,1,0,0
188,0,12,2,4,674,1,3,4,3,0,1,1,1,2,1,1,2,1,0,0,1
189,1,18,0,3,3244,0,2,1,1,0,4,2,0,0,1,2,2,1,1,0,0
190,3,24,2,9,4591,3,2,2,2,0,3,1,0,2,1,3,3,1,1,0,1
191,1,48,0,9,3844,1,3,4,2,0,4,3,0,2,2,1,1,2,0,0,1
192,1,27,2,9,3915,0,2,4,2,0,2,2,0,2,1,1,2,2,1,0,1
193,3,6,2,4,2108,0,3,2,3,0,2,0,0,2,0,1,2,1,0,0,0
194,1,45,2,4,3031,1,2,4,2,2,4,1,1,2,0,1,2,1,0,0,1
195,1,9,4,7,1501,0,4,2,1,0,3,2,0,2,1,2,3,1,1,0,1
196,3,6,4,4,1382,0,2,1,1,0,1,2,0,2,1,2,2,1,1,0,0
197,1,12,2,3,951,1,1,4,1,0,4,2,0,0,0,4,2,1,0,0,1
198,1,24,2,1,2760,4,4,4,2,0,4,3,0,0,2,1,2,1,1,0,0
199,1,18,3,3,4297,0,4,4,0,0,3,3,0,2,1,1,3,1,1,0,1
200,3,9,4,7,936,2,4,4,2,0,2,2,0,2,1,2,2,1,1,0,0
201,0,12,2,0,1168,0,2,4,3,0,3,0,0,2,1,1,1,1,0,0,0
202,3,27,3,9,5117,0,3,3,2,0,4,2,0,2,1,2,2,1,0,0,0
203,0,12,2,8,902,0,3,4,3,0,4,1,1,2,0,1,2,1,0,0,1
204,3,12,4,0,1495,0,4,4,2,0,1,0,0,2,1,2,1,2,0,0,0
205,0,30,4,1,10623,0,4,3,2,0,4,3,0,2,2,3,3,2,1,0,0
206,3,12,4,3,1935,0,4,4,2,0,4,0,0,2,1,3,2,1,1,0,0
207,1,12,4,5,1424,0,3,4,2,0,3,1,0,2,1,1,2,1,0,0,0
208,0,24,2,9,6568,0,2,2,3,0,2,2,1,1,1,1,1,1,0,0,0
209,3,12,2,1,1413,3,3,3,2,0,2,1,0,2,1,1,2,1,0,1,0
210,3,9,4,4,3074,4,2,1,2,0,2,0,0,2,1,2,2,2,0,0,0
211,3,36,2,4,3835,4,4,2,1,0,4,0,0,2,1,1,1,1,1,0,0
212,0,27,0,9,5293,0,0,2,2,0,4,1,0,1,1,2,2,1,1,0,1
213,2,30,3,9,1908,0,4,4,2,0,4,0,0,2,1,1,3,1,1,0,1
214,3,36,4,4,3342,4,4,4,2,0,2,2,0,2,1,1,2,1,1,0,0
215,1,6,4,8,932,4,3,1,1,0,3,1,0,2,1,2,1,1,0,0,0
216,0,18,0,9,3104,0,3,3,2,0,1,1,0,0,1,1,2,1,1,0,0
217,2,36,2,4,3913,0,2,2,2,0,2,0,1,2,1,1,2,1,1,0,0
218,0,24,2,3,3021,0,2,2,0,0,2,0,1,2,0,1,1,1,0,0,0
219,3,10,2,0,1364,0,2,2,1,0,4,2,0,2,1,1,2,1,1,0,0
220,1,12,2,4,625,0,1,4,3,2,1,0,0,0,1,1,1,1,0,0,0
221,0,12,2,7,1200,4,2,4,1,0,4,1,1,0,0,1,2,1,1,0,0
222,3,12,2,4,707,0,2,4,2,0,2,0,0,0,1,2,2,1,0,0,0
223,3,24,3,9,2978,4,2,4,2,0,4,0,0,2,1,2,2,2,1,0,0
224,3,15,2,1,4657,0,2,3,2,0,2,2,0,2,1,1,2,1,1,0,0
225,3,36,0,6,2613,0,2,4,2,0,2,2,0,2,1,2,2,1,0,0,0
226,1,48,2,4,10961,3,3,1,2,1,2,3,0,0,1,2,2,1,1,0,1
227,0,12,2,3,7865,0,4,4,2,0,4,3,0,2,2,1,3,1,1,0,1
228,3,9,2,4,1478,0,3,4,2,0,2,2,1,2,1,1,2,1,0,0,1
229,0,24,2,3,3149,0,1,4,2,0,1,3,1,0,2,1,2,1,0,0,0
230,2,36,2,4,4210,0,2,4,2,0,2,2,0,2,1,1,2,1,0,0,1
231,3,9,2,0,2507,2,4,2,2,0,4,3,0,2,2,1,1,1,0,0,0
232,3,12,2,4,2141,1,3,3,2,0,1,3,0,2,1,1,2,1,0,0,0
233,1,18,2,4,866,0,2,4,3,2,2,0,1,2,1,1,1,1,0,0,0
234,3,4,4,4,1544,0,3,2,2,0,1,0,0,2,1,3,1,2,0,0,0
235,0,24,2,4,1823,0,0,4,2,0,2,2,0,1,1,1,3,2,0,0,1
236,1,6,2,0,14555,4,0,1,2,0,2,1,1,2,1,1,0,1,1,0,1
237,1,21,2,9,2767,1,4,4,0,0,2,2,0,0,0,2,1,1,0,0,1
238,3,12,4,4,1291,0,2,4,1,0,2,1,0,2,1,2,2,1,0,0,0
239,0,30,2,4,2522,0,4,1,2,2,3,1,0,2,1,1,2,2,0,0,0
240,0,24,2,0,915,4,4,4,1,0,2,2,0,0,1,1,2,1,0,0,1
241,3,6,2,4,1595,0,3,3,2,0,2,1,0,2,1,1,2,2,0,0,0
242,0,48,0,1,4605,0,4,3,2,0,4,3,1,2,2,2,2,2,0,0,1
243,3,12,4,9,1185,0,2,3,1,0,2,0,0,2,1,2,2,1,0,0,0
244,3,12,1,8,3447,2,2,4,1,0,3,0,0,2,1,1,1,2,0,0,0
245,3,24,2,9,1258,0,3,4,2,0,1,0,1,2,1,1,2,1,1,0,0
246,3,12,4,4,717,0,4,4,2,0,4,0,0,2,1,3,2,1,0,0,0
